INDEX(),Date,Brand,Channel Funnel,Channel,Funnel,Tactic,Centralized Channel Funnel Tactic,Spend,LCND,LCROAS,pND,pROAS,Visit,clicks,impressions,orders
18,8/1/24,brand ca,CVR DAB,Social,Conversion,CVR DAB,Social Conversion DABA, 207.85 ," 1,625.97 ", 7.82 ,,, 819.00 ," 1,287.00 "," 15,774.00 ", 13.00 
19,8/1/24,brand ca,CVR DPA,Social,Conversion,CVR DPA,Social Conversion DPA, 167.34 ," 2,636.42 ", 15.75 ,,, 904.00 ," 1,380.00 "," 16,900.00 ", 14.00 
20,8/1/24,brand ca,Meta AWE,Social,Awareness,Meta AWE,Meta AWE," 1,063.05 ", -   , -   ,,, 179.00 , 927.00 ," 721,980.00 ", -   
21,8/1/24,brand ca,Pinterest AWE,Social,Awareness,Pinterest AWE,Pinterest AWE, 354.93 , -   , -   ,,, 28.00 , 226.00 ," 202,443.00 ", -   
22,8/1/24,brand ca,PLA,Search,Conversion,PLA,Search Conversion PLA," 1,227.43 "," 7,992.02 ", 6.51 ,,," 3,376.00 "," 3,925.00 "," 298,029.00 ", 73.00 
23,8/1/24,brand ca,Social Consideration,Social,Consideration,Not Applicable,Social Consideration, 294.35 , 895.56 , 3.04 ,,," 2,292.00 "," 6,793.00 "," 70,593.00 ", 8.00 
24,8/1/24,brand outlet,Affiliates,Affiliates,Conversion,Not Applicable,Affiliates Conversion," 5,755.00 "," 104,049.34 ", 18.08 ,,," 13,194.00 ", -   , -   , 972.00 
25,8/1/24,brand outlet,Brand,Search,Conversion,Brand,Search Conversion Brand, 660.16 ," 86,577.27 ", 131.14 ,,," 19,667.00 "," 10,140.00 "," 20,110.00 ", 891.00 
26,8/1/24,brand outlet,Meta AWE,Social,Awareness,Meta AWE,Meta AWE, 589.72 ,,,,,, 449.00 ," 335,223.00 ",
27,8/1/24,brand outlet,Non Brand,Search,Conversion,Non Brand,Search Conversion Non Brand," 2,162.72 "," 5,534.82 ", 2.56 ,,," 1,330.00 "," 1,222.00 "," 70,773.00 ", 44.00 
28,8/1/24,brand outlet,PLA,Search,Conversion,PLA,Search Conversion PLA," 38,548.09 "," 147,157.06 ", 3.82 ,,," 49,786.00 "," 53,783.00 "," 5,252,381.00 "," 1,622.00 "
29,8/1/24,brand outlet,Social Consideration,Social,Consideration,Not Applicable,Social Consideration," 7,029.89 ", -   , -   ,,, 17.00 ," 39,426.00 "," 655,335.00 ", -   
30,8/2/24,brand us,Affiliates,Affiliates,Conversion,Not Applicable,Affiliates Conversion," 10,798.00 "," 128,782.79 ", 11.93 ,,," 21,448.00 ", -   , -   , 872.00 
31,8/2/24,brand us,Brand,Search,Conversion,Brand,Search Conversion Brand, 854.25 ," 87,308.19 ", 102.20 ,,," 16,650.00 "," 14,935.00 "," 35,526.00 ", 589.00 
32,8/2/24,brand us,CVR DAB,Social,Conversion,CVR DAB,Social Conversion DABA, 420.15 ," 4,044.41 ", 9.63 ,,," 2,941.00 "," 3,455.00 "," 28,767.00 ", 21.00 
33,8/2/24,brand us,CVR DPA,Social,Conversion,CVR DPA,Social Conversion DPA, 351.61 ," 2,095.22 ", 5.96 ,,," 1,220.00 "," 1,466.00 "," 13,784.00 ", 17.00 
34,8/2/24,brand us,Meta AWE,Social,Awareness,Meta AWE,Meta AWE," 2,590.78 ", -   , -   ,,, 264.00 , 892.00 ," 1,033,771.00 ", -   
35,8/2/24,brand us,Non Brand CON,Search,Consideration,Non Brand,Search Consideration Non Brand, 628.93 ,,,,,, 171.00 ," 2,550.00 ",
36,8/2/24,brand us,Pinterest AWE,Social,Awareness,Pinterest AWE,Pinterest AWE," 6,959.34 ", -   , -   ,,, 106.00 ," 1,943.00 "," 1,983,766.00 ", -   
37,8/2/24,brand us,PLA,Search,Conversion,PLA,Search Conversion PLA," 20,302.81 "," 75,854.31 ", 3.74 ,,," 25,149.00 "," 25,329.00 "," 2,518,816.00 ", 525.00 
38,8/2/24,brand us,Social Consideration,Social,Consideration,Not Applicable,Social Consideration," 6,644.62 "," 2,784.37 ", 0.42 ,,," 12,966.00 "," 29,608.00 "," 1,366,160.00 ", 24.00 
39,8/2/24,brand us,TikTok AWE,Social,Awareness,TikTok AWE,TikTok AWE," 4,283.22 ", -   , -   ,,, 447.00 ," 1,795.00 "," 991,242.00 ", -   
40,8/2/24,brand us,CVR ASC,Social,Conversion, CVR ASC,Social Conversion ASC,," 2,245.05 ", -   ,, -   ," 1,529.00 ",,, 20.00 
41,8/2/24,brand us,CVR CUS,Social,Conversion,CVR CUS,Social Conversion Custom,," 2,311.21 ", -   ,, -   ," 1,124.00 ",,, 20.00 
42,8/2/24,brand us,Non Brand,Search,Conversion,Non Brand,Search Conversion Non Brand,, -   , -   ,, -   , 126.00 ,,, -   
43,8/2/24,brand ca,Affiliates,Affiliates,Conversion,Not Applicable,Affiliates Conversion, 542.00 ," 13,978.96 ", 25.79 ,,, 877.00 , -   , -   , 111.00 
44,8/2/24,brand ca,Brand,Search,Conversion,Brand,Search Conversion Brand, 266.26 ," 11,430.81 ", 42.93 ,,," 2,184.00 "," 4,421.00 "," 8,414.00 ", 85.00 
45,8/2/24,brand ca,CVR ASC,Social,Conversion, CVR ASC,Social Conversion ASC, 164.65 , 981.80 , 5.96 ,,, 997.00 ," 1,572.00 "," 17,090.00 ", 11.00 
46,8/2/24,brand ca,CVR CUS,Social,Conversion,CVR CUS,Social Conversion Custom, 286.60 ," 1,580.97 ", 5.52 ,,, 766.00 , 927.00 ," 25,473.00 ", 13.00 
47,8/2/24,brand ca,CVR DAB,Social,Conversion,CVR DAB,Social Conversion DABA, 204.61 ," 1,713.02 ", 8.37 ,,, 818.00 ," 1,154.00 "," 17,675.00 ", 11.00 
48,8/2/24,brand ca,CVR DPA,Social,Conversion,CVR DPA,Social Conversion DPA, 165.03 ," 1,268.76 ", 7.69 ,,, 875.00 ," 1,351.00 "," 17,591.00 ", 10.00 
49,8/2/24,brand ca,Meta AWE,Social,Awareness,Meta AWE,Meta AWE," 1,052.45 ", -   , -   ,,, 310.00 , 795.00 ," 687,841.00 ", -   
50,8/2/24,brand ca,Pinterest AWE,Social,Awareness,Pinterest AWE,Pinterest AWE, 354.93 , -   , -   ,,, 17.00 , 163.00 ," 192,394.00 ", -   
51,8/2/24,brand ca,PLA,Search,Conversion,PLA,Search Conversion PLA," 1,261.10 "," 10,898.33 ", 8.64 ,,," 3,415.00 "," 3,854.00 "," 326,326.00 ", 84.00 
52,8/2/24,brand ca,Social Consideration,Social,Consideration,Not Applicable,Social Consideration, 296.95 , 512.21 , 1.72 ,,," 2,404.00 "," 6,073.00 "," 71,655.00 ", 6.00 
53,8/2/24,brand outlet,Affiliates,Affiliates,Conversion,Not Applicable,Affiliates Conversion," 5,216.00 "," 85,247.37 ", 16.34 ,,," 12,288.00 ", -   , -   , 841.00 
54,8/2/24,brand outlet,Brand,Search,Conversion,Brand,Search Conversion Brand, 619.64 ," 73,964.84 ", 119.37 ,,," 12,315.00 "," 9,820.00 "," 19,489.00 ", 744.00 
55,8/2/24,brand outlet,CVR ASC,Social,Conversion, CVR ASC,Social Conversion ASC, 620.21 ,,,,,," 3,554.00 "," 43,630.00 ",
56,8/2/24,brand outlet,CVR DAB,Social,Conversion,CVR DAB,Social Conversion DABA, 580.89 ,,,,,," 3,065.00 "," 36,870.00 ",
57,8/2/24,brand outlet,CVR DPA,Social,Conversion,CVR DPA,Social Conversion DPA, 367.14 ,,,,,," 1,762.00 "," 24,418.00 ",
58,8/2/24,brand outlet,Meta AWE,Social,Awareness,Meta AWE,Meta AWE, 596.17 ,,,,,, 440.00 ," 338,549.00 ",
59,8/2/24,brand outlet,Non Brand,Search,Conversion,Non Brand,Search Conversion Non Brand," 2,253.48 "," 5,161.10 ", 2.29 ,,," 1,413.00 "," 1,311.00 "," 80,925.00 ", 47.00 
60,8/2/24,brand outlet,PLA,Search,Conversion,PLA,Search Conversion PLA," 41,575.75 "," 134,827.26 ", 3.24 ,,," 51,166.00 "," 57,415.00 "," 5,832,351.00 "," 1,578.00 "
61,8/2/24,brand outlet,Social Consideration,Social,Consideration,Not Applicable,Social Consideration," 7,032.04 ", -   , -   ,,, 16.00 ," 37,792.00 "," 657,478.00 ", -   
62,8/3/24,brand us,Affiliates,Affiliates,Conversion,Not Applicable,Affiliates Conversion," 11,182.00 "," 136,443.82 ", 12.20 ,,," 20,258.00 ", -   , -   , 987.00 
63,8/3/24,brand us,Brand,Search,Conversion,Brand,Search Conversion Brand, 977.26 ," 80,358.85 ", 82.23 ,,," 17,641.00 "," 16,888.00 "," 39,781.00 ", 623.00 
64,8/3/24,brand us,CVR DAB,Social,Conversion,CVR DAB,Social Conversion DABA, 406.76 ," 3,049.46 ", 7.50 ,,," 2,514.00 "," 3,804.00 "," 28,732.00 ", 31.00 
65,8/3/24,brand us,CVR DPA,Social,Conversion,CVR DPA,Social Conversion DPA, 334.62 ," 4,268.31 ", 12.76 ,,," 1,238.00 "," 1,637.00 "," 16,517.00 ", 28.00 
66,8/3/24,brand us,Meta AWE,Social,Awareness,Meta AWE,Meta AWE," 3,124.09 ", -   , -   ,,, 273.00 ," 1,164.00 "," 1,254,220.00 ", -   
67,8/3/24,brand us,Non Brand CON,Search,Consideration,Non Brand,Search Consideration Non Brand, 861.67 ,,,,,, 231.00 ," 3,137.00 ",
68,8/3/24,brand us,Pinterest AWE,Social,Awareness,Pinterest AWE,Pinterest AWE," 6,959.34 ", -   , -   ,,, 135.00 ," 2,073.00 "," 2,037,342.00 ", -   
69,8/3/24,brand us,PLA,Search,Conversion,PLA,Search Conversion PLA," 22,929.55 "," 84,327.53 ", 3.68 ,,," 27,621.00 "," 28,511.00 "," 2,678,369.00 ", 542.00 
70,8/3/24,brand us,Social Consideration,Social,Consideration,Not Applicable,Social Consideration," 6,613.48 "," 4,724.10 ", 0.71 ,,," 12,956.00 "," 31,467.00 "," 1,588,743.00 ", 47.00 
71,8/3/24,brand us,TikTok AWE,Social,Awareness,TikTok AWE,TikTok AWE," 4,723.76 ", -   , -   ,,, 348.00 ," 1,909.00 "," 1,087,568.00 ", -   
72,8/3/24,brand us,CVR ASC,Social,Conversion, CVR ASC,Social Conversion ASC,," 3,871.20 ", -   ,, -   ," 2,208.00 ",,, 35.00 
73,8/3/24,brand us,CVR CUS,Social,Conversion,CVR CUS,Social Conversion Custom,, 260.91 , -   ,, -   , 206.00 ,,, 4.00 
74,8/3/24,brand us,Non Brand,Search,Conversion,Non Brand,Search Conversion Non Brand,, 70.66 , -   ,, -   , 166.00 ,,, 1.00 
75,8/3/24,brand ca,Affiliates,Affiliates,Conversion,Not Applicable,Affiliates Conversion, 667.00 ," 15,091.32 ", 22.63 ,,, 859.00 , -   , -   , 114.00 
76,8/3/24,brand ca,Brand,Search,Conversion,Brand,Search Conversion Brand, 257.76 ," 9,795.65 ", 38.00 ,,," 2,231.00 "," 4,490.00 "," 8,783.00 ", 89.00 
77,8/3/24,brand ca,CVR ASC,Social,Conversion, CVR ASC,Social Conversion ASC, 160.81 ," 2,552.21 ", 15.87 ,,, 947.00 ," 1,505.00 "," 16,804.00 ", 12.00 
78,8/3/24,brand ca,CVR CUS,Social,Conversion,CVR CUS,Social Conversion Custom, 290.48 ," 2,751.44 ", 9.47 ,,, 809.00 , 932.00 ," 24,890.00 ", 23.00 
79,8/3/24,brand ca,CVR DAB,Social,Conversion,CVR DAB,Social Conversion DABA, 201.55 ," 1,217.62 ", 6.04 ,,, 766.00 ," 1,074.00 "," 17,323.00 ", 8.00 
80,8/3/24,brand ca,CVR DPA,Social,Conversion,CVR DPA,Social Conversion DPA, 158.64 ," 1,208.92 ", 7.62 ,,, 974.00 ," 1,385.00 "," 18,404.00 ", 10.00 
81,8/3/24,brand ca,Meta AWE,Social,Awareness,Meta AWE,Meta AWE," 1,078.49 ", -   , -   ,,, 139.00 , 870.00 ," 687,062.00 ", -   
82,8/3/24,brand ca,Pinterest AWE,Social,Awareness,Pinterest AWE,Pinterest AWE, 354.93 , -   , -   ,,, 20.00 , 219.00 ," 193,865.00 ", -   
83,8/3/24,brand ca,PLA,Search,Conversion,PLA,Search Conversion PLA," 1,378.68 "," 6,116.06 ", 4.44 ,,," 3,642.00 "," 4,321.00 "," 357,430.00 ", 59.00 
84,8/3/24,brand ca,Social Consideration,Social,Consideration,Not Applicable,Social Consideration, 293.28 , 277.78 , 0.95 ,,," 2,939.00 "," 5,897.00 "," 70,422.00 ", 3.00 
85,8/3/24,brand outlet,Affiliates,Affiliates,Conversion,Not Applicable,Affiliates Conversion," 5,290.00 "," 97,763.87 ", 18.48 ,,," 11,959.00 ", -   , -   , 923.00 
86,8/3/24,brand outlet,Brand,Search,Conversion,Brand,Search Conversion Brand, 267.59 ," 51,256.74 ", 191.55 ,,," 7,280.00 "," 3,981.00 "," 8,910.00 ", 485.00 
87,8/3/24,brand outlet,CVR ASC,Social,Conversion, CVR ASC,Social Conversion ASC," 1,200.54 ",,,,,," 6,914.00 "," 93,313.00 ",
88,8/3/24,brand outlet,CVR DAB,Social,Conversion,CVR DAB,Social Conversion DABA, 945.90 ,,,,,," 5,130.00 "," 64,819.00 ",
89,8/3/24,brand outlet,CVR DPA,Social,Conversion,CVR DPA,Social Conversion DPA, 647.76 ,,,,,," 3,326.00 "," 44,926.00 ",
90,8/3/24,brand outlet,Meta AWE,Social,Awareness,Meta AWE,Meta AWE, 602.76 ,,,,,, 482.00 ," 337,484.00 ",
91,8/3/24,brand outlet,Non Brand,Search,Conversion,Non Brand,Search Conversion Non Brand," 2,277.21 "," 4,518.69 ", 1.98 ,,," 1,441.00 "," 1,374.00 "," 83,883.00 ", 47.00 
92,8/3/24,brand outlet,PLA,Search,Conversion,PLA,Search Conversion PLA," 47,065.13 "," 178,936.63 ", 3.80 ,,," 58,633.00 "," 66,860.00 "," 6,428,286.00 "," 1,963.00 "
93,8/3/24,brand outlet,Social Consideration,Social,Consideration,Not Applicable,Social Consideration," 7,009.08 ", -   , -   ,,, 15.00 ," 37,204.00 "," 718,728.00 ", -   
94,8/4/24,brand us,Affiliates,Affiliates,Conversion,Not Applicable,Affiliates Conversion," 10,883.00 "," 157,066.55 ", 14.43 ,,," 16,112.00 ", -   , -   ," 1,015.00 "
95,8/4/24,brand us,Brand,Search,Conversion,Brand,Search Conversion Brand," 1,219.73 "," 110,941.83 ", 90.96 ,,," 19,040.00 "," 18,193.00 "," 42,307.00 ", 693.00 
96,8/4/24,brand us,CVR DAB,Social,Conversion,CVR DAB,Social Conversion DABA, 484.19 ," 4,148.30 ", 8.57 ,,," 2,920.00 "," 4,146.00 "," 33,474.00 ", 39.00 
97,8/4/24,brand us,CVR DPA,Social,Conversion,CVR DPA,Social Conversion DPA, 4.37 ," 1,300.55 ", 297.61 ,,, 291.00 , 34.00 , 316.00 , 4.00 
98,8/4/24,brand us,Meta AWE,Social,Awareness,Meta AWE,Meta AWE," 2,115.92 ", -   , -   ,,, 183.00 , 648.00 ," 815,213.00 ", -   
99,8/4/24,brand us,Non Brand CON,Search,Consideration,Non Brand,Search Consideration Non Brand, 949.02 ,,,,,, 256.00 ," 3,456.00 ",
100,8/4/24,brand us,Pinterest AWE,Social,Awareness,Pinterest AWE,Pinterest AWE," 9,122.14 ", -   , -   ,,, 162.00 ," 2,618.00 "," 2,445,637.00 ", -   
101,8/4/24,brand us,PLA,Search,Conversion,PLA,Search Conversion PLA," 20,010.88 "," 78,738.65 ", 3.93 ,,," 27,771.00 "," 28,309.00 "," 2,650,847.00 ", 591.00 
102,8/4/24,brand us,Social Consideration,Social,Consideration,Not Applicable,Social Consideration," 10,563.32 "," 4,876.33 ", 0.46 ,,," 16,573.00 "," 42,140.00 "," 2,100,497.00 ", 43.00 
103,8/4/24,brand us,TikTok AWE,Social,Awareness,TikTok AWE,TikTok AWE," 5,323.15 ", -   , -   ,,, 403.00 ," 1,929.00 "," 1,114,163.00 ", -   
104,8/4/24,brand us,CVR ASC,Social,Conversion, CVR ASC,Social Conversion ASC,," 1,747.71 ", -   ,, -   ," 1,683.00 ",,, 20.00 
105,8/4/24,brand us,CVR CUS,Social,Conversion,CVR CUS,Social Conversion Custom,, 151.49 , -   ,, -   , 83.00 ,,, 3.00 
106,8/4/24,brand us,Non Brand,Search,Conversion,Non Brand,Search Conversion Non Brand,, 505.48 , -   ,, -   , 200.00 ,,, 3.00 
107,8/4/24,brand ca,Affiliates,Affiliates,Conversion,Not Applicable,Affiliates Conversion, 686.00 ," 16,576.26 ", 24.16 ,,, 824.00 , -   , -   , 113.00 
108,8/4/24,brand ca,Brand,Search,Conversion,Brand,Search Conversion Brand, 290.11 ," 13,785.12 ", 47.52 ,,," 2,305.00 "," 4,769.00 "," 9,228.00 ", 95.00 
109,8/4/24,brand ca,CVR ASC,Social,Conversion, CVR ASC,Social Conversion ASC, 203.68 ," 2,510.14 ", 12.32 ,,," 1,250.00 "," 2,061.00 "," 22,587.00 ", 15.00 
110,8/4/24,brand ca,CVR CUS,Social,Conversion,CVR CUS,Social Conversion Custom, 344.80 ," 2,315.73 ", 6.72 ,,, 785.00 ," 1,079.00 "," 28,819.00 ", 19.00 
111,8/4/24,brand ca,CVR DAB,Social,Conversion,CVR DAB,Social Conversion DABA, 248.89 , 828.46 , 3.33 ,,, 911.00 ," 1,461.00 "," 20,292.00 ", 8.00 
112,8/4/24,brand ca,CVR DPA,Social,Conversion,CVR DPA,Social Conversion DPA, 208.58 , 242.08 , 1.16 ,,," 1,417.00 "," 2,181.00 "," 27,077.00 ", 4.00 
113,8/4/24,brand ca,Meta AWE,Social,Awareness,Meta AWE,Meta AWE," 1,403.26 ", -   , -   ,,, 182.00 ," 1,182.00 "," 861,491.00 ", -   
114,8/4/24,brand ca,Pinterest AWE,Social,Awareness,Pinterest AWE,Pinterest AWE, 344.30 , -   , -   ,,, 18.00 , 190.00 ," 182,394.00 ", -   
115,8/4/24,brand ca,PLA,Search,Conversion,PLA,Search Conversion PLA," 1,461.81 "," 8,650.58 ", 5.92 ,,," 3,512.00 "," 4,337.00 "," 362,253.00 ", 57.00 
116,8/4/24,brand ca,Social Consideration,Social,Consideration,Not Applicable,Social Consideration, 369.00 , 196.23 , 0.53 ,,," 3,051.00 "," 6,914.00 "," 85,185.00 ", 2.00 
117,8/4/24,brand outlet,Affiliates,Affiliates,Conversion,Not Applicable,Affiliates Conversion," 5,274.00 "," 118,588.46 ", 22.49 ,,," 11,101.00 ", -   , -   ," 1,058.00 "
118,8/4/24,brand outlet,Brand,Search,Conversion,Brand,Search Conversion Brand, 868.64 ," 119,207.55 ", 137.24 ,,," 22,172.00 "," 12,111.00 "," 23,703.00 "," 1,157.00 "
119,8/4/24,brand outlet,CVR ASC,Social,Conversion, CVR ASC,Social Conversion ASC," 1,294.10 ",,,,,," 8,054.00 "," 112,386.00 ",
120,8/4/24,brand outlet,CVR DAB,Social,Conversion,CVR DAB,Social Conversion DABA," 1,035.30 ",,,,,," 5,781.00 "," 74,014.00 ",
121,8/4/24,brand outlet,CVR DPA,Social,Conversion,CVR DPA,Social Conversion DPA, 717.19 ,,,,,," 3,997.00 "," 58,830.00 ",
122,8/4/24,brand outlet,Meta AWE,Social,Awareness,Meta AWE,Meta AWE, 619.02 ,,,,,, 473.00 ," 351,107.00 ",
123,8/4/24,brand outlet,Non Brand,Search,Conversion,Non Brand,Search Conversion Non Brand," 3,276.62 "," 7,885.68 ", 2.41 ,,," 1,947.00 "," 1,864.00 "," 90,970.00 ", 79.00 
124,8/4/24,brand outlet,PLA,Search,Conversion,PLA,Search Conversion PLA," 37,542.41 "," 174,079.24 ", 4.64 ,,," 55,079.00 "," 57,936.00 "," 5,678,801.00 "," 2,011.00 "
125,8/4/24,brand outlet,Social Consideration,Social,Consideration,Not Applicable,Social Consideration," 7,321.29 ", -   , -   ,,, 11.00 ," 37,223.00 "," 803,883.00 ", -   
126,8/5/24,brand us,Affiliates,Affiliates,Conversion,Not Applicable,Affiliates Conversion," 8,282.00 "," 110,828.63 ", 13.38 ,,," 17,312.00 ", -   , -   , 857.00 
127,8/5/24,brand us,Brand,Search,Conversion,Brand,Search Conversion Brand," 1,072.25 "," 87,466.58 ", 81.57 ,,," 17,545.00 "," 16,041.00 "," 38,623.00 ", 595.00 
128,8/5/24,brand us,CVR DAB,Social,Conversion,CVR DAB,Social Conversion DABA, 238.13 ," 1,542.82 ", 6.48 ,,," 1,665.00 "," 2,204.00 "," 17,939.00 ", 12.00 
129,8/5/24,brand us,Meta AWE,Social,Awareness,Meta AWE,Meta AWE," 3,787.82 ", 323.48 , 0.09 ,,, 301.00 ," 1,391.00 "," 1,458,561.00 ", 2.00 
130,8/5/24,brand us,Non Brand CON,Search,Consideration,Non Brand,Search Consideration Non Brand, 692.55 ,,,,,, 189.00 ," 2,755.00 ",
131,8/5/24,brand us,Pinterest AWE,Social,Awareness,Pinterest AWE,Pinterest AWE," 8,979.34 ", -   , -   ,,, 183.00 ," 2,450.00 "," 2,510,965.00 ", -   
132,8/5/24,brand us,PLA,Search,Conversion,PLA,Search Conversion PLA," 21,694.02 "," 77,188.20 ", 3.56 ,,," 27,836.00 "," 29,002.00 "," 2,647,099.00 ", 551.00 
133,8/5/24,brand us,Social Consideration,Social,Consideration,Not Applicable,Social Consideration," 10,460.48 "," 4,200.50 ", 0.40 ,,," 15,878.00 "," 38,581.00 "," 2,221,186.00 ", 43.00 
134,8/5/24,brand us,TikTok AWE,Social,Awareness,TikTok AWE,TikTok AWE," 5,321.30 ", -   , -   ,,, 361.00 ," 1,748.00 "," 1,073,784.00 ", -   
135,8/5/24,brand us,CVR ASC,Social,Conversion, CVR ASC,Social Conversion ASC,," 2,065.02 ", -   ,, -   ," 1,716.00 ",,, 23.00 
136,8/5/24,brand us,CVR CUS,Social,Conversion,CVR CUS,Social Conversion Custom,, 27.98 , -   ,, -   , 38.00 ,,, 1.00 
137,8/5/24,brand us,CVR DPA,Social,Conversion,CVR DPA,Social Conversion DPA,, 465.46 , -   ,, -   , 153.00 ,,, 2.00 
138,8/5/24,brand us,Non Brand,Search,Conversion,Non Brand,Search Conversion Non Brand,, 315.74 , -   ,, -   , 115.00 ,,, 5.00 
139,8/5/24,brand ca,Affiliates,Affiliates,Conversion,Not Applicable,Affiliates Conversion, 799.00 ," 15,499.24 ", 19.40 ,,," 1,111.00 ", -   , -   , 125.00 
140,8/5/24,brand ca,Brand,Search,Conversion,Brand,Search Conversion Brand, 311.54 ," 13,305.14 ", 42.71 ,,," 2,573.00 "," 5,241.00 "," 10,036.00 ", 97.00 
141,8/5/24,brand ca,CVR ASC,Social,Conversion, CVR ASC,Social Conversion ASC, 201.41 ," 1,004.06 ", 4.99 ,,," 1,273.00 "," 2,252.00 "," 24,785.00 ", 9.00 
142,8/5/24,brand ca,CVR CUS,Social,Conversion,CVR CUS,Social Conversion Custom, 348.94 ," 3,146.24 ", 9.02 ,,, 856.00 ," 1,055.00 "," 26,616.00 ", 14.00 
143,8/5/24,brand ca,CVR DAB,Social,Conversion,CVR DAB,Social Conversion DABA, 256.58 ," 1,315.19 ", 5.13 ,,," 1,131.00 "," 1,836.00 "," 24,307.00 ", 11.00 
144,8/5/24,brand ca,CVR DPA,Social,Conversion,CVR DPA,Social Conversion DPA, 199.11 , 811.76 , 4.08 ,,," 1,397.00 "," 2,196.00 "," 25,532.00 ", 9.00 
145,8/5/24,brand ca,Meta AWE,Social,Awareness,Meta AWE,Meta AWE," 1,392.22 ", 30.81 , 0.02 ,,, 240.00 ," 1,271.00 "," 858,503.00 ", 1.00 
146,8/5/24,brand ca,Pinterest AWE,Social,Awareness,Pinterest AWE,Pinterest AWE, 344.28 , -   , -   ,,, 30.00 , 174.00 ," 199,274.00 ", -   
147,8/5/24,brand ca,PLA,Search,Conversion,PLA,Search Conversion PLA," 1,921.93 "," 9,278.50 ", 4.83 ,,," 4,360.00 "," 5,180.00 "," 445,269.00 ", 80.00 
148,8/5/24,brand ca,Social Consideration,Social,Consideration,Not Applicable,Social Consideration, 361.03 , 302.60 , 0.84 ,,," 3,485.00 "," 6,985.00 "," 85,923.00 ", 3.00 
149,8/5/24,brand outlet,Affiliates,Affiliates,Conversion,Not Applicable,Affiliates Conversion," 3,735.00 "," 80,839.29 ", 21.64 ,,," 9,950.00 ", -   , -   , 839.00 
150,8/5/24,brand outlet,Brand,Search,Conversion,Brand,Search Conversion Brand, 746.27 ," 83,687.82 ", 112.14 ,,," 12,391.00 "," 10,010.00 "," 19,918.00 ", 807.00 
